Kernel           Params                 Cycles    Instr  Packets   GEMM   SDMA MemOps Branch       AI   TheoFLOP   FLOP/cyc    IPC   Wall(ms)
---------------------------------------------------------------------------------------------------------------------------------------------
GEMM             4x4x4                     102      102      102      4      4      4     18     0.46        128       1.25   1.00       37.0
GEMM             8x8x8                     146      146      146      8      4      4     30     0.14       1024       7.01   1.00       40.4
GEMM             16x16x16                  234      234      234     16      4      4     54     0.04       8192      35.01   1.00       43.2
GEMM             32x32x32                  410      410      410     32      4      4    102     0.02      65536     159.84   1.00       48.2
GEMM             64x64x64                 3078     3078     3078    256     24     24    796     0.02     524288     170.33   1.00      131.0
GEMM-rect        1x32x32                   224      224      224      1      4      4     71     0.03       2048       9.14   1.00       37.0
GEMM-rect        4x32x64                   449      449      449      8      6      6    144     0.03      16384      36.49   1.00       52.0
GEMM-rect        32x4x32                   410      410      410     32      4      4    102     0.04       8192      19.98   1.00       51.0
GEMM-rect        64x32x8                   562      562      562     64      8      8    108     0.02      32768      58.31   1.00       63.8
GEMM-rect        32x64x32                  798      798      798     64      8      8    202     0.02     131072     164.25   1.00       72.0
GEMM-rect        16x16x64                  593      593      593     32      6      6    168     0.03      32768      55.26   1.00       49.2
GEMM-rect        64x64x4                  1018     1018     1018    128     16     16    180     0.03      32768      32.19   1.00       74.0
Conv             4x4x3->4                  217      217      217      4      4      4     64     0.14        864       3.98   1.00       35.0
Conv             8x8x3->4                  752      752      752     64      8      8    184     0.04       7776      10.34   1.00       55.6
Conv             8x8x3->8                  752      752      752     64      8      8    184     0.03      27648      36.77   1.00       58.5
Conv             13x13x4->8               4620     4620     4620    384     36     36   1200     0.03      97344      21.07   1.00      188.6
Conv             16x16x4->4               6154     6154     6154    512     48     48   1600     0.04      73728      11.98   1.00      239.9
Conv             16x16x8->8               9154     9154     9154    768     64     64   2384     0.03     294912      32.22   1.00      345.2
Conv             16x16x8->16              9154     9154     9154    768     64     64   2384     0.03     589824      64.43   1.00      334.6
Conv             32x32x3->4              11762    11762    11762   1024    128    128   2944     0.04     221184      18.80   1.00      455.6
Attention        S=4,d=4                   173      173      173      8      4      4     32     9.03        352       2.03   1.00       37.4
Attention        S=8,d=8                   317      317      317     16      4      4     64     4.32       2432       7.67   1.00       43.4
Attention        S=16,d=16                 605      605      605     32      4      4    128     2.11      17920      29.62   1.00       58.8
Attention        S=32,d=32                1181     1181     1181     64      4      4    256     1.04     137216     116.19   1.00       83.7
ReLU             N=32                       26       26       26      0      2      2      3     2.17         32       1.23   1.00       24.6
ReLU             N=64                       33       33       33      0      2      2      4     1.84         64       1.94   1.00       25.0
ReLU             N=128                      47       47       47      0      2      2      6     1.68        128       2.72   1.00       26.4
ReLU             N=256                      75       75       75      0      2      2     10     1.60        256       3.41   1.00       28.5
ReLU             N=512                     131      131      131      0      2      2     18     1.56        512       3.91   1.00       33.1
ReLU             N=1024                    243      243      243      0      2      2     34     1.54       1024       4.21   1.00       42.5
Softmax          N=4                        21       21       21      0      2      2      1    20.62         20       0.95   1.00       24.5
